L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
77.2292,77.1472,56.8945,0.0649843,5.57094,19.3873,83.1546,0.00144502,30.87,44.568,34.6971,8.11276e-05,4.8961,18.7638,7.11076,9.96706e-08,1.69837,0.872646,5.99342,1.6745
77.5718,77.1472,56.8945,0.065018,5.58446,19.3873,83.1574,0.00144503,31.2125,44.568,34.6972,0.000114878,4.90962,18.7638,7.11358,1.40912e-07,1.6981,0.871233,5.99024,1.66931
77.4248,77.1472,56.8946,0.0650359,5.59878,19.3873,83.1568,0.00144513,31.0655,44.568,34.6972,0.000132742,4.92394,18.7638,7.11301,1.62786e-07,1.69789,0.871838,5.98757,1.67153
77.3178,77.1472,56.8944,0.0650725,5.56721,19.3873,83.1544,0.00144512,30.9586,44.568,34.6971,0.000169381,4.89237,18.7638,7.11058,2.07674e-07,1.69843,0.87228,5.99418,1.67315
77.1296,77.1472,56.8946,0.065023,5.59003,19.3873,83.1574,0.0014451,30.7704,44.568,34.6972,0.000119804,4.9152,18.7638,7.11354,1.46992e-07,1.69803,0.873057,5.98916,1.67601
77.1186,77.1472,56.8945,0.0650335,5.57545,19.3873,83.1564,0.00144507,30.7593,44.568,34.6972,0.000130382,4.90061,18.7638,7.11254,1.59913e-07,1.69828,0.873103,5.9922,1.67618
77.1977,77.1472,56.8948,0.0649881,5.61893,19.3873,83.1598,0.00144502,30.8385,44.568,34.6975,8.49595e-05,4.94409,18.7638,7.11601,1.04349e-07,1.69754,0.872774,5.98307,1.67497
77.2854,77.1472,56.8946,0.065027,5.59965,19.3873,83.1564,0.00144503,30.9262,44.568,34.6973,0.000123831,4.92482,18.7638,7.11255,1.51896e-07,1.69789,0.872413,5.98749,1.67364
77.0064,77.1472,56.8945,0.0650648,5.58145,19.3873,83.1562,0.00144516,30.6472,44.568,34.6971,0.00016161,4.90661,18.7638,7.11237,1.98144e-07,1.69819,0.873566,5.99106,1.67789
77.0125,77.1472,56.8945,0.0649142,5.58033,19.3873,83.1562,0.00144483,30.6533,44.568,34.6971,1.10716e-05,4.90549,18.7638,7.11237,1.38591e-08,1.69821,0.873542,5.99128,1.6778
77.0176,77.1472,56.8945,0.0649142,5.581,19.3873,83.1562,0.00144483,30.6584,44.568,34.6971,1.10497e-05,4.90616,18.7638,7.11237,1.38325e-08,1.6982,0.873521,5.99115,1.67773
