L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
46.2543,31.3907,66.4732,0.0272527,1.18569,1.7863,83.0867,0.000515898,13.6453,6.86464,47.9014,4.35989e-05,0.654975,1.30753,7.04285,9.82531e-07,2.14248,1.27941,20.4791,2.69577
46.2543,31.3907,66.4729,0.02725,1.17675,1.78115,83.085,0.00051589,13.6453,6.86464,47.9011,4.08942e-05,0.646034,1.30237,7.04123,9.50535e-07,2.14287,1.27941,20.5149,2.69578
46.2543,31.3907,66.4729,0.0272501,1.17182,1.77618,83.0824,0.000515939,13.6453,6.86464,47.9011,4.09617e-05,0.641113,1.2974,7.03862,1.05425e-06,2.14318,1.27941,20.5435,2.69579
46.2543,31.3907,66.4728,0.0272476,1.16568,1.77136,83.0824,0.000515782,13.6453,6.86464,47.9009,3.85184e-05,0.634973,1.29259,7.03861,9.11431e-07,2.14346,1.27942,20.5686,2.69579
46.2543,31.3907,66.4729,0.0272399,1.16669,1.77104,83.0852,0.000515648,13.6453,6.86464,47.901,3.07587e-05,0.635976,1.29227,7.0414,8.07011e-07,2.14337,1.27941,20.5606,2.69579
46.2543,31.3907,66.4728,0.0272395,1.16487,1.7698,83.0852,0.00051573,13.6453,6.86464,47.901,3.03586e-05,0.63416,1.29103,7.0414,8.08713e-07,2.14345,1.27941,20.5676,2.69579
46.2543,31.3907,66.4729,0.0272436,1.16411,1.76792,83.0852,0.000515742,13.6453,6.86464,47.901,3.44807e-05,0.633397,1.28915,7.0414,8.8431e-07,2.14351,1.27941,20.5737,2.69579
46.2543,31.3907,66.4725,0.027249,1.15652,1.76607,83.0824,0.000515944,13.6453,6.86464,47.9006,3.98514e-05,0.625807,1.2873,7.0386,1.03423e-06,2.14382,1.27942,20.6018,2.6958
46.2543,31.3907,66.4726,0.0272451,1.1572,1.7651,83.0852,0.000515829,13.6453,6.86464,47.9007,3.60342e-05,0.626488,1.28633,7.04139,9.66352e-07,2.14375,1.27942,20.5961,2.6958
46.2543,31.3907,66.4725,0.0272378,1.15592,1.7644,83.0852,0.000515634,13.6453,6.86464,47.9007,2.86879e-05,0.625214,1.28563,7.04139,7.96983e-07,2.1438,1.27942,20.6006,2.6958
46.2543,31.3907,66.4726,0.0272369,1.15726,1.76528,83.0824,0.000515728,13.6453,6.86464,47.9008,2.77893e-05,0.62655,1.28651,7.03861,8.519e-07,2.14382,1.27942,20.6019,2.6958
46.2543,31.3907,66.4727,0.0272334,1.15805,1.7649,83.0852,0.000515678,13.6453,6.86464,47.9009,2.43055e-05,0.627338,1.28612,7.04139,7.86616e-07,2.14374,1.27942,20.5946,2.69579
46.2543,31.3907,66.4728,0.027249,1.1585,1.76437,83.0852,0.000515925,13.6453,6.86464,47.9009,3.98612e-05,0.627789,1.2856,7.0414,9.79905e-07,2.14374,1.27942,20.5947,2.69579
46.2543,31.3907,66.4728,0.0272438,1.15923,1.7642,83.0852,0.000515786,13.6453,6.86464,47.901,3.4714e-05,0.628522,1.28543,7.0414,9.08724e-07,2.14373,1.27941,20.5934,2.69579
46.2543,31.3907,66.4728,0.0272428,1.15826,1.76377,83.0852,0.000515846,13.6453,6.86464,47.9009,3.37171e-05,0.627544,1.285,7.0414,9.55768e-07,2.14376,1.27942,20.5967,2.69579
46.2543,31.3907,66.4726,0.0272368,1.15503,1.76147,83.0852,0.000515758,13.6453,6.86464,47.9008,2.77416e-05,0.624319,1.2827,7.04139,8.70738e-07,2.1439,1.27942,20.6094,2.6958
46.2543,31.3907,66.4728,0.0272417,1.15721,1.76153,83.088,0.000515742,13.6453,6.86464,47.901,3.25801e-05,0.626503,1.28276,7.04418,8.88087e-07,2.14377,1.27941,20.5978,2.69579
46.2543,31.3907,66.473,0.0272447,1.15872,1.75974,83.088,0.00051583,13.6453,6.86464,47.9012,3.56393e-05,0.628008,1.28096,7.04419,9.71731e-07,2.14378,1.27941,20.5985,2.69578
46.2543,31.3907,66.4734,0.0272513,1.16455,1.7599,83.0936,0.000515939,13.6453,6.86464,47.9016,4.2201e-05,0.633844,1.28113,7.04977,1.08266e-06,2.14349,1.27941,20.5719,2.69576
46.2543,31.3907,66.4734,0.0272487,1.16481,1.75987,83.0936,0.000515952,13.6453,6.86464,47.9016,3.96171e-05,0.634096,1.2811,7.04977,1.0629e-06,2.14349,1.27941,20.5713,2.69576
46.2543,31.3907,66.4735,0.0272499,1.16487,1.75931,83.0911,0.000515878,13.6453,6.86464,47.9016,4.0756e-05,0.634156,1.28053,7.04733,1.06786e-06,2.14356,1.27941,20.5781,2.69576
46.2543,31.3907,66.4733,0.0272382,1.15951,1.75641,83.0911,0.000515726,13.6453,6.86464,47.9015,2.9067e-05,0.628799,1.27764,7.04733,8.9738e-07,2.14377,1.27941,20.5971,2.69577
46.2543,31.3907,66.4733,0.0272515,1.15927,1.75541,83.0911,0.000515886,13.6453,6.86464,47.9015,4.24191e-05,0.628562,1.27663,7.04733,1.04601e-06,2.1438,1.27941,20.5999,2.69577
46.2543,31.3907,66.4735,0.0272404,1.1609,1.75435,83.0903,0.000515781,13.6453,6.86464,47.9017,3.1319e-05,0.630185,1.27558,7.04644,9.81415e-07,2.1438,1.27941,20.6007,2.69576
46.2543,31.3907,66.4732,0.0272484,1.15777,1.75595,83.0875,0.000515886,13.6453,6.86464,47.9013,3.93324e-05,0.627059,1.27718,7.04365,1.05101e-06,2.14391,1.27941,20.6106,2.69578
46.2543,31.3907,66.4733,0.0272468,1.15832,1.75497,83.0911,0.000515881,13.6453,6.86464,47.9014,3.76576e-05,0.627605,1.2762,7.04733,1.02251e-06,2.14383,1.27941,20.6031,2.69577
46.2543,31.3907,66.4734,0.0272509,1.16041,1.75566,83.0911,0.000515975,13.6453,6.86464,47.9015,4.18139e-05,0.629695,1.27689,7.04733,1.12816e-06,2.14376,1.27941,20.5967,2.69577
46.2543,31.3907,66.4736,0.0272466,1.16209,1.75335,83.0939,0.000515822,13.6453,6.86464,47.9018,3.74795e-05,0.631376,1.27458,7.05012,1.0055e-06,2.14371,1.27941,20.5917,2.69576
46.2543,31.3907,66.4735,0.0272507,1.15678,1.75013,83.0939,0.000515892,13.6453,6.86464,47.9017,4.1623e-05,0.626067,1.27135,7.05012,1.05359e-06,2.14392,1.27941,20.6114,2.69576
46.2543,31.3907,66.4735,0.027243,1.15838,1.75205,83.093,0.000515824,13.6453,6.86464,47.9016,3.38666e-05,0.627671,1.27328,7.04922,1.04506e-06,2.14385,1.27941,20.6054,2.69576
46.2543,31.3907,66.4739,0.0272093,1.14919,1.73246,83.1028,0.000515206,13.6453,6.86464,47.9021,1.67122e-07,0.618478,1.25369,7.05897,5.57605e-07,2.14433,1.27941,20.6492,2.69575
46.2543,31.3907,66.474,0.0272093,1.12693,1.70693,83.1058,0.000515206,13.6453,6.86464,47.9021,1.67122e-07,0.596218,1.22815,7.06201,5.57606e-07,2.14545,1.27941,20.7533,2.69575
