epoch, latency_FW(s), latency_AG(s), latency_WG(s), latency_WU(s), energy_FW(J), energy_AG(J), energy_WG(J), energy_WU(J),Peak_latency_FW(s), Peak_latency_AG(s), Peak_latency_WG(s), Peak_latency_WU(s), Peak_energy_FW(J), Peak_energy_AG(J), Peak_energy_WG(J), Peak_energy_WU(J), ADC_latency(s), Accumulation_latency(s), Synaptic Array w/o ADC_latency(s), Buffer_latency(s), IC_latency(s), Weight_gradient_latency(s), Weight_update(s), DRAM_latency(s), ADC_energy(J), Accumulation_energy(J), Synaptic Array w/o ADC_energy(J), Buffer_energy(J), IC_energy(J), Weight_gradient_energy(J), Weight_update_energy(J), DRAM_energy(J),TOPS/W,FPS,TOPS,Peak TOPS/W,Peak FPS,Peak TOPS
32.0,61.5099,48.2699,55.2085,0.123234,3.43196,3.51641,82.6681,0.0122932,2.93703,6.0954,33.0112,0.0563597,2.04796,2.21003,6.62424,0.00591735,59.0512,5.77723,3.07003,78.6581,66.6226,33.0112,0.0563597,1.2825,3.1597,1.08693,0.0113529,0.239527,3.00938,6.62424,0.00591735,76.0265,2.05172,0.00605651,1.11695,16.9378,0.023753,4.38056
33.0,61.5099,48.2699,55.2083,0.126113,3.4151,3.51116,82.6644,0.0137795,2.93703,6.0954,33.0109,0.0592391,2.0311,2.20478,6.62055,0.00651358,58.3444,5.77723,3.07003,78.6581,66.6226,33.0109,0.0592391,1.2825,3.13759,1.08693,0.0113529,0.239527,3.00938,6.62055,0.00651358,76.0265,2.05227,0.00605642,1.11693,16.9771,0.0237515,4.38029
34.0,61.5099,48.2699,55.2088,0.130833,3.4336,3.51492,82.67,0.0130979,2.93703,6.0954,33.0114,0.0639587,2.04961,2.20854,6.62617,0.00679785,58.9822,5.77723,3.07003,78.6581,66.6226,33.0114,0.0639587,1.2825,3.15986,1.08693,0.0113529,0.239527,3.00938,6.62617,0.00679785,76.0265,2.05165,0.00605622,1.1169,16.9332,0.0237486,4.37974
35.0,61.5099,48.2699,55.2083,0.134948,3.41016,3.50809,82.6639,0.0134405,2.93703,6.0954,33.011,0.0680746,2.02616,2.20171,6.62005,0.00715599,57.6242,5.77723,3.07003,78.6581,66.6226,33.011,0.0680746,1.2825,3.12958,1.08693,0.0113529,0.239527,3.00938,6.62005,0.00715599,76.0265,2.05248,0.00605609,1.11687,16.9894,0.0237465,4.37936
36.0,61.5099,48.2699,55.208,0.115533,3.39849,3.50425,82.6609,0.0118558,2.93703,6.0954,33.0107,0.0486589,2.01449,2.19787,6.61704,0.00503156,57.4575,5.77723,3.07003,78.6581,66.6226,33.0107,0.0486589,1.2825,3.11407,1.08693,0.0113529,0.239527,3.00938,6.61704,0.00503156,76.0265,2.05293,0.00605681,1.11701,17.0218,0.0237576,4.38141
37.0,61.5099,48.2699,55.2088,0.124739,3.43897,3.51654,82.6691,0.011419,2.93703,6.0954,33.0114,0.0578653,2.05497,2.21016,6.62529,0.00562193,60.6996,5.77723,3.07003,78.6581,66.6226,33.0114,0.0578653,1.2825,3.16685,1.08693,0.0113529,0.239527,3.00938,6.62529,0.00562193,76.0265,2.05155,0.00605645,1.11694,16.9255,0.023752,4.38038
38.0,61.5099,48.2699,55.2082,0.135581,3.41515,3.51366,82.6633,0.0141986,2.93703,6.0954,33.0109,0.0687074,2.03115,2.20728,6.61948,0.00750944,58.507,5.77723,3.07003,78.6581,66.6226,33.0109,0.0687074,1.2825,3.14015,1.08693,0.0113529,0.239527,3.00938,6.61948,0.00750944,76.0265,2.05223,0.00605607,1.11687,16.9732,0.0237462,4.3793
39.0,61.5099,48.2699,55.2083,0.116751,3.41566,3.51479,82.6639,0.0115014,2.93703,6.0954,33.011,0.0498776,2.03167,2.2084,6.62005,0.00522408,58.7913,5.77723,3.07003,78.6581,66.6226,33.011,0.0498776,1.2825,3.14179,1.08693,0.0113529,0.239527,3.00938,6.62005,0.00522408,76.0265,2.05224,0.00605676,1.117,16.9733,0.0237568,4.38126
40.0,61.5099,48.2699,55.2094,0.0697485,3.45279,3.52128,82.6709,0.00264627,2.93703,6.0954,33.012,0.0028746,2.06879,2.21489,6.62704,0.000214828,59.9419,5.77723,3.07003,78.6581,66.6226,33.012,0.0028746,1.2825,3.1854,1.08693,0.0113529,0.239527,3.00938,6.62704,0.000214828,76.0265,2.05129,0.00605844,1.11731,16.9024,0.0237827,4.38604
41.0,61.5099,48.2699,55.2097,0.0714706,3.47042,3.52444,82.6759,0.00290023,2.93703,6.0954,33.0124,0.00459672,2.08642,2.21806,6.63212,0.000344287,60.4659,5.77723,3.07003,78.6581,66.6226,33.0124,0.00459672,1.2825,3.20619,1.08693,0.0113529,0.239527,3.00938,6.63212,0.000344287,76.0265,2.05069,0.00605837,1.11729,16.8622,0.0237815,4.38582
42.0,61.5099,48.2699,55.2098,0.0707418,3.47583,3.52606,82.6758,0.0027859,2.93703,6.0954,33.0125,0.00386794,2.09184,2.21967,6.63195,0.000295499,60.8116,5.77723,3.07003,78.6581,66.6226,33.0125,0.00386794,1.2825,3.21322,1.08693,0.0113529,0.239527,3.00938,6.63195,0.000295499,76.0265,2.05054,0.00605839,1.1173,16.8518,0.0237819,4.38589
43.0,61.5099,48.2699,55.2098,0.068746,3.47448,3.52643,82.675,0.00250273,2.93703,6.0954,33.0124,0.00187215,2.09049,2.22005,6.63123,0.000128987,60.472,5.77723,3.07003,78.6581,66.6226,33.0124,0.00187215,1.2825,3.21225,1.08693,0.0113529,0.239527,3.00938,6.63123,0.000128987,76.0265,2.05058,0.00605846,1.11731,16.8546,0.0237831,4.3861
44.0,61.5099,48.2699,55.2097,0.0702087,3.47288,3.52618,82.6756,0.00265191,2.93703,6.0954,33.0124,0.00333484,2.08888,2.2198,6.6318,0.000242028,60.1535,5.77723,3.07003,78.6581,66.6226,33.0124,0.00333484,1.2825,3.21039,1.08693,0.0113529,0.239527,3.00938,6.6318,0.000242028,76.0265,2.05061,0.00605841,1.1173,16.8564,0.0237823,4.38596
45.0,61.5099,48.2699,55.21,0.0710379,3.48551,3.52734,82.6777,0.00273956,2.93703,6.0954,33.0127,0.00416402,2.10152,2.22096,6.63391,0.000314987,60.4892,5.77723,3.07003,78.6581,66.6226,33.0127,0.00416402,1.2825,3.22419,1.08693,0.0113529,0.239527,3.00938,6.63391,0.000314987,76.0265,2.05024,0.00605837,1.11729,16.8318,0.0237816,4.38584
46.0,61.5099,48.2699,55.2102,0.0705497,3.49206,3.52876,82.6777,0.00271281,2.93703,6.0954,33.0128,0.00367583,2.10806,2.22238,6.63392,0.000271852,61.2128,5.77723,3.07003,78.6581,66.6226,33.0128,0.00367583,1.2825,3.23215,1.08693,0.0113529,0.239527,3.00938,6.63392,0.000271852,76.0265,2.05006,0.00605838,1.1173,16.8197,0.0237818,4.38588
47.0,61.5099,48.2699,55.2102,0.0705503,3.49551,3.5274,82.6777,0.0027613,2.93703,6.0954,33.0129,0.00367641,2.11151,2.22102,6.63392,0.000274176,61.2487,5.77723,3.07003,78.6581,66.6226,33.0129,0.00367641,1.2825,3.23424,1.08693,0.0113529,0.239527,3.00938,6.63392,0.000274176,76.0265,2.05001,0.00605838,1.1173,16.8164,0.0237818,4.38587
48.0,61.5099,48.2699,55.2102,0.071219,3.49773,3.52854,82.6802,0.00284809,2.93703,6.0954,33.0129,0.00434507,2.11374,2.22216,6.63635,0.000322658,61.7782,5.77723,3.07003,78.6581,66.6226,33.0129,0.00434507,1.2825,3.23761,1.08693,0.0113529,0.239527,3.00938,6.63635,0.000322658,76.0265,2.04988,0.00605836,1.11729,16.8075,0.0237814,4.3858
49.0,61.5099,48.2699,55.2103,0.0715816,3.49886,3.52815,82.6816,0.00282278,2.93703,6.0954,33.013,0.00470771,2.11486,2.22177,6.63774,0.000356692,61.4689,5.77723,3.07003,78.6581,66.6226,33.013,0.00470771,1.2825,3.23835,1.08693,0.0113529,0.239527,3.00938,6.63774,0.000356692,76.0265,2.04983,0.00605834,1.11729,16.8042,0.0237812,4.38575
50.0,61.5099,48.2699,55.2104,0.0733356,3.5012,3.52773,82.6791,0.00295715,2.93703,6.0954,33.013,0.00646169,2.1172,2.22135,6.63532,0.000478686,61.5642,5.77723,3.07003,78.6581,66.6226,33.013,0.00646169,1.2825,3.24027,1.08693,0.0113529,0.239527,3.00938,6.63532,0.000478686,76.0265,2.04984,0.00605827,1.11728,16.8048,0.0237801,4.38556
51.0,61.5099,48.2699,55.2104,0.0716269,3.50145,3.52804,82.6816,0.00283259,2.93703,6.0954,33.013,0.00475298,2.11745,2.22166,6.63774,0.000349703,61.7663,5.77723,3.07003,78.6581,66.6226,33.013,0.00475298,1.2825,3.24082,1.08693,0.0113529,0.239527,3.00938,6.63774,0.000349703,76.0265,2.04978,0.00605834,1.11729,16.8004,0.0237811,4.38574
52.0,61.5099,48.2699,55.2103,0.072454,3.49553,3.52631,82.6791,0.00295813,2.93703,6.0954,33.0129,0.00558012,2.11153,2.21993,6.63531,0.000419104,61.0769,5.77723,3.07003,78.6581,66.6226,33.0129,0.00558012,1.2825,3.23317,1.08693,0.0113529,0.239527,3.00938,6.63531,0.000419104,76.0265,2.05,0.00605831,1.11728,16.8157,0.0237807,4.38567
53.0,61.5099,48.2699,55.2103,0.071286,3.49947,3.52751,82.6803,0.00265906,2.93703,6.0954,33.0129,0.00441214,2.11547,2.22113,6.63653,0.000323993,60.6807,5.77723,3.07003,78.6581,66.6226,33.0129,0.00441214,1.2825,3.23831,1.08693,0.0113529,0.239527,3.00938,6.63653,0.000323993,76.0265,2.04987,0.00605835,1.11729,16.8061,0.0237813,4.38579
54.0,61.5099,48.2699,55.2104,0.0721436,3.50714,3.52816,82.6803,0.00295198,2.93703,6.0954,33.0131,0.00526972,2.12314,2.22178,6.63654,0.000403624,61.5036,5.77723,3.07003,78.6581,66.6226,33.0131,0.00526972,1.2825,3.24663,1.08693,0.0113529,0.239527,3.00938,6.63654,0.000403624,76.0265,2.04967,0.00605832,1.11728,16.7933,0.0237808,4.38568
55.0,61.5099,48.2699,55.2105,0.0699948,3.50743,3.52832,82.6816,0.00268541,2.93703,6.0954,33.0132,0.00312094,2.12344,2.22194,6.63775,0.000227895,61.6726,5.77723,3.07003,78.6581,66.6226,33.0132,0.00312094,1.2825,3.24709,1.08693,0.0113529,0.239527,3.00938,6.63775,0.000227895,76.0265,2.04964,0.00605839,1.1173,16.791,0.0237819,4.3859
56.0,61.5099,48.2699,55.2106,0.0716607,3.513,3.52983,82.6835,0.00277942,2.93703,6.0954,33.0132,0.0047868,2.129,2.22345,6.63971,0.000357882,62.4539,5.77723,3.07003,78.6581,66.6226,33.0132,0.0047868,1.2825,3.25417,1.08693,0.0113529,0.239527,3.00938,6.63971,0.000357882,76.0265,2.04943,0.00605833,1.11729,16.777,0.023781,4.38572
57.0,61.5099,48.2699,55.2105,0.0715942,3.50938,3.5295,82.6817,0.00265539,2.93703,6.0954,33.0132,0.00472028,2.12538,2.22312,6.63792,0.000345528,61.643,5.77723,3.07003,78.6581,66.6226,33.0132,0.00472028,1.2825,3.25022,1.08693,0.0113529,0.239527,3.00938,6.63792,0.000345528,76.0265,2.04956,0.00605833,1.11729,16.7858,0.023781,4.38573
58.0,61.5099,48.2699,55.2106,0.0717373,3.51639,3.53138,82.6833,0.00285707,2.93703,6.0954,33.0133,0.0048634,2.1324,2.225,6.63954,0.000367505,61.9919,5.77723,3.07003,78.6581,66.6226,33.0133,0.0048634,1.2825,3.25911,1.08693,0.0113529,0.239527,3.00938,6.63954,0.000367505,76.0265,2.04932,0.00605832,1.11728,16.7697,0.0237809,4.3857
59.0,61.5099,48.2699,55.2105,0.0712612,3.50772,3.52932,82.6817,0.00285022,2.93703,6.0954,33.0131,0.00438732,2.12372,2.22294,6.63792,0.000329595,61.7913,5.77723,3.07003,78.6581,66.6226,33.0131,0.00438732,1.2825,3.24837,1.08693,0.0113529,0.239527,3.00938,6.63792,0.000329595,76.0265,2.0496,0.00605835,1.11729,16.7886,0.0237812,4.38577
