L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
38.5929,30.1374,66.4823,0.0268397,1.45436,1.43729,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717772,0.75534,12.0178,5.56796e-07,2.02726,1.36366,13.67,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45455,1.43744,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717959,0.755492,12.0178,5.56796e-07,2.02725,1.36366,13.6697,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45448,1.43739,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717887,0.755439,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45459,1.43749,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718001,0.755537,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4823,0.0268397,1.4545,1.43742,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717905,0.755464,12.0178,5.56796e-07,2.02726,1.36366,13.6698,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45452,1.43744,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717927,0.755484,12.0178,5.56796e-07,2.02726,1.36366,13.6697,2.95979
38.5929,30.1374,66.4823,0.0268397,1.4546,1.4375,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718005,0.755548,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4823,0.0268397,1.45456,1.43747,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.717968,0.755519,12.0178,5.56796e-07,2.02725,1.36366,13.6696,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45466,1.43755,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718063,0.755598,12.0178,5.56796e-07,2.02725,1.36366,13.6695,2.95979
38.5929,30.1374,66.4824,0.0268397,1.45462,1.43753,88.0616,0.000448494,7.47833,6.92005,47.9105,0,0.718033,0.755573,12.0178,5.56796e-07,2.02725,1.36366,13.6695,2.95979
