L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
71.4938,51.8701,70.103,0.0681698,4.27015,5.00029,83.1343,0.00240369,8.91144,6.73774,47.9057,0.000622637,3.05457,3.86916,7.09052,3.01992e-06,1.98922,0.95291,13.1596,2.90174
71.4938,51.8701,70.1039,0.0682403,4.26931,5.00058,83.1377,0.00240374,8.91144,6.73774,47.9065,0.000693207,3.05373,3.86945,7.09385,3.06974e-06,1.98916,0.952905,13.1569,2.9017
71.4938,51.8701,70.1033,0.0681927,4.27023,5.00058,83.1346,0.00240369,8.91144,6.73774,47.9059,0.000645529,3.05465,3.86945,7.09077,3.03773e-06,1.9892,0.952908,13.159,2.90173
71.4938,51.8701,70.1023,0.0681923,4.25878,4.98754,83.1305,0.00240367,8.91144,6.73774,47.905,0.000645119,3.0432,3.85641,7.08668,3.03134e-06,1.98982,0.952913,13.1859,2.90177
71.4938,51.8701,70.1033,0.0682363,4.26965,5.00015,83.1352,0.00240372,8.91144,6.73774,47.906,0.000689179,3.05407,3.86903,7.09141,3.06705e-06,1.98921,0.952908,13.1593,2.90172
71.4938,51.8701,70.1039,0.068203,4.27311,5.00472,83.1408,0.00240369,8.91144,6.73774,47.9066,0.000655864,3.05753,3.8736,7.09703,3.04189e-06,1.98892,0.952905,13.1465,2.9017
71.4938,51.8701,70.1031,0.0682146,4.26803,4.99843,83.1343,0.00240371,8.91144,6.73774,47.9058,0.000667456,3.05246,3.8673,7.09052,3.05306e-06,1.9893,0.952909,13.1633,2.90173
71.4938,51.8701,70.1029,0.0682651,4.26836,4.9981,83.1345,0.00240375,8.91144,6.73774,47.9056,0.000718009,3.05278,3.86698,7.09069,3.08677e-06,1.9893,0.95291,13.1631,2.90174
71.4938,51.8701,70.1036,0.0681364,4.26612,4.99647,83.138,0.00240361,8.91144,6.73774,47.9062,0.000589246,3.05054,3.86535,7.09419,2.99376e-06,1.9893,0.952907,13.1635,2.90172
71.4938,51.8701,70.1038,0.0682338,4.2739,5.00543,83.1389,0.00240372,8.91144,6.73774,47.9065,0.000686666,3.05832,3.87431,7.09507,3.06391e-06,1.98893,0.952905,13.1469,2.9017
71.4938,51.8701,70.1029,0.0681588,4.26289,4.99244,83.1328,0.00240366,8.91144,6.73774,47.9055,0.000611677,3.04731,3.86132,7.08897,3.01101e-06,1.98957,0.95291,13.1752,2.90175
71.4938,51.8701,70.1034,0.0681859,4.26793,4.99812,83.1343,0.00240369,8.91144,6.73774,47.9061,0.00063879,3.05235,3.867,7.09052,3.03387e-06,1.98931,0.952908,13.1637,2.90172
71.4938,51.8701,70.103,0.0681714,4.26981,5.00005,83.1354,0.00240368,8.91144,6.73774,47.9057,0.000624231,3.05423,3.86893,7.09159,3.01988e-06,1.9892,0.95291,13.1591,2.90174
71.4938,51.8701,70.1036,0.0682694,4.27194,5.00293,83.1377,0.00240375,8.91144,6.73774,47.9062,0.000722228,3.05636,3.87181,7.09388,3.09032e-06,1.98905,0.952907,13.1522,2.90171
71.4938,51.8701,70.103,0.0681938,4.26671,4.99677,83.1343,0.0024037,8.91144,6.73774,47.9056,0.000646692,3.05113,3.86565,7.09052,3.03852e-06,1.98936,0.95291,13.1661,2.90174
71.4938,51.8701,70.1031,0.0682041,4.27008,4.99994,83.1331,0.00240367,8.91144,6.73774,47.9057,0.000656935,3.05451,3.86882,7.0893,3.04328e-06,1.98925,0.952909,13.1611,2.90173
71.4938,51.8701,70.103,0.06811,4.26381,4.99345,83.1333,0.00240364,8.91144,6.73774,47.9056,0.000562846,3.04823,3.86232,7.08947,2.97908e-06,1.98952,0.95291,13.1729,2.90174
71.4938,51.8701,70.1031,0.0681492,4.27049,5.00096,83.1368,0.00240365,8.91144,6.73774,47.9057,0.00060207,3.05491,3.86983,7.09295,3.00328e-06,1.98914,0.95291,13.1563,2.90174
71.4938,51.8701,70.1034,0.0682274,4.27036,5.00087,83.1364,0.00240374,8.91144,6.73774,47.906,0.000680245,3.05478,3.86975,7.09259,3.06222e-06,1.98915,0.952908,13.1569,2.90172
71.4938,51.8701,70.1032,0.0681575,4.27046,5.00078,83.1371,0.00240365,8.91144,6.73774,47.9058,0.000610321,3.05489,3.86966,7.0933,3.01295e-06,1.98914,0.952909,13.1562,2.90173
71.4938,51.8701,70.1029,0.068188,4.26753,4.99717,83.1359,0.00240366,8.91144,6.73774,47.9056,0.000640905,3.05195,3.86605,7.09211,3.03399e-06,1.9893,0.95291,13.1634,2.90174
71.4938,51.8701,70.103,0.0681497,4.26451,4.99394,83.1322,0.00240365,8.91144,6.73774,47.9056,0.000602527,3.04893,3.86282,7.0884,3.00647e-06,1.98952,0.95291,13.1728,2.90174
71.4938,51.8701,70.1031,0.0681527,4.2628,4.99241,83.134,0.00240365,8.91144,6.73774,47.9057,0.000605573,3.04722,3.86129,7.09016,3.00654e-06,1.98955,0.95291,13.1742,2.90174
71.4938,51.8701,70.1027,0.0681945,4.26397,4.99361,83.1345,0.00240371,8.91144,6.73774,47.9054,0.000647356,3.04839,3.86249,7.09069,3.03974e-06,1.98949,0.952911,13.1715,2.90175
71.4938,51.8701,70.1028,0.0682192,4.26431,4.9936,83.1311,0.0024037,8.91144,6.73774,47.9054,0.000672101,3.04873,3.86248,7.08733,3.05392e-06,1.98955,0.952911,13.1743,2.90175
71.4938,51.8701,70.1032,0.0682325,4.2658,4.99582,83.134,0.00240373,8.91144,6.73774,47.9059,0.000685372,3.05022,3.8647,7.09019,3.06514e-06,1.98941,0.952908,13.1681,2.90173
71.4938,51.8701,70.1027,0.0681373,4.26826,4.99768,83.1319,0.00240366,8.91144,6.73774,47.9053,0.000590211,3.05268,3.86655,7.08808,2.99773e-06,1.98936,0.952911,13.1661,2.90175
71.4938,51.8701,70.1033,0.0682165,4.26695,4.99717,83.1366,0.00240371,8.91144,6.73774,47.9059,0.000669359,3.05137,3.86605,7.0928,3.0562e-06,1.9893,0.952908,13.1633,2.90173
71.4938,51.8701,70.1026,0.0681943,4.26561,4.99449,83.1303,0.0024037,8.91144,6.73774,47.9053,0.000647215,3.05003,3.86337,7.0865,3.03966e-06,1.98952,0.952911,13.1731,2.90175
71.4938,51.8701,70.1035,0.0682007,4.27211,5.00305,83.1382,0.00240371,8.91144,6.73774,47.9062,0.000653516,3.05653,3.87193,7.09435,3.04164e-06,1.98903,0.952907,13.1515,2.90171
71.4938,51.8701,70.1034,0.0681314,4.2725,5.00297,83.1368,0.00240366,8.91144,6.73774,47.906,0.000584267,3.05692,3.87184,7.09298,2.99394e-06,1.98905,0.952908,13.1525,2.90172
