L_forward (s),L_activation gradient (s),L_weight gradient (s),L_weight update (s),E_forward (J),E_activation gradient (J),E_weight gradient (J),E_weight update (J),L_forward_Peak (s),L_activation gradient_Peak (s),L_weight gradient_Peak (s),L_weight update_Peak (s),E_forward_Peak (J),E_activation gradient_Peak (J),E_weight gradient_Peak (J),E_weight update_Peak (J),TOPS/W,TOPS,Peak TOPS/W,Peak TOPS
61.5099,48.2699,55.2112,0.0676351,3.54193,3.53171,82.6909,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15793,2.22533,6.64705,3.34694e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54198,3.53171,82.691,0.00223773,2.93703,6.0954,33.0139,0.000761649,2.15799,2.22533,6.64723,3.34029e-05,2.04857,1.11731,16.7191,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54205,3.53171,82.6909,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15806,2.22533,6.64705,3.33867e-05,2.04857,1.11731,16.7193,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54191,3.53169,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15791,2.22531,6.64723,3.33867e-05,2.04857,1.11731,16.7192,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54177,3.53168,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15777,2.2253,6.64723,3.34694e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54191,3.53169,82.691,0.00223775,2.93703,6.0954,33.0139,0.000761649,2.15791,2.22531,6.64723,3.3406e-05,2.04857,1.11731,16.7192,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.53169,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15783,2.22531,6.64723,3.3469e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676355,3.54188,3.53169,82.691,0.00223775,2.93703,6.0954,33.0139,0.000761649,2.15788,2.22531,6.64723,3.3421e-05,2.04857,1.11731,16.7193,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54167,3.53168,82.691,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15767,2.2253,6.64723,3.34694e-05,2.04858,1.11731,16.7196,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54151,3.53167,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15751,2.22529,6.64722,3.33867e-05,2.04858,1.11731,16.7199,4.38607
61.5099,48.2699,55.2112,0.0676351,3.5416,3.53167,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.1576,2.22529,6.64722,3.33867e-05,2.04858,1.11731,16.7197,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54174,3.53168,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15774,2.2253,6.64723,3.33867e-05,2.04857,1.11731,16.7195,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54183,3.53169,82.691,0.00223771,2.93703,6.0954,33.0139,0.000761257,2.15783,2.22531,6.64723,3.33867e-05,2.04857,1.11731,16.7194,4.38607
61.5099,48.2699,55.2112,0.0676359,3.54157,3.53167,82.691,0.00223805,2.93703,6.0954,33.0139,0.00076204,2.15757,2.22529,6.64722,3.35132e-05,2.04858,1.11731,16.7198,4.38607
61.5099,48.2699,55.2112,0.0676351,3.54176,3.53168,82.6909,0.00223801,2.93703,6.0954,33.0139,0.000761257,2.15776,2.2253,6.64705,3.3469e-05,2.04858,1.11731,16.7198,4.38607
